id,price,address,suburb,longitude,latitude,area,beds,baths,cars,dateListed,dateSold,features
2019153430,828000,"3 Moran Crescent, Forest Lake QLD 4078",Forest Lake,152.9634164,-27.6323382,640,3,2,2,2024-04-16T05:11:26.94Z,2024-04-02T04:57:56Z,
2019087578,1471000,"10 Groom Street, Gordon Park QLD 4031",Gordon Park,153.0288397,-27.4203831,607,3,1,2,2024-03-15T02:47:00.497Z,2024-02-29T04:09:41Z,Close to Transport|Close to Shops|Close to Schools|Carpeted
2019016311,2350000,"57 Waratah Avenue, Graceville QLD 4075",Graceville,152.9839061,-27.5184985,1214,5,2,4,2024-03-13T06:46:42.773Z,2024-01-30T00:44:19Z,
2019033489,2650000,"6 Churchward Street, Greenslopes QLD 4120",Greenslopes,153.0581339,-27.5068796,407,5,3,2,2024-03-14T02:28:01.247Z,2024-02-06T04:19:04Z,Air Conditioning - Zoned|Alarm System|Alfresco Entertaining|Built in wardrobes|Built-In BBQ|Air conditioning|Swimming Pool|Rumpus Room|Walk-In Wardrobe
2019043642,1650000,"32 Hilda Street, Hamilton QLD 4007",Hamilton,153.0777018,-27.432911,400,5,3,4,2024-03-13T07:15:07.74Z,2024-02-09T07:16:01Z,Air Conditioning|Area Views|Built-In Wardrobes|Close to Schools|Close to Shops|Close to Transport|Ensuite|Pool|Prestige Homes|Floorboards|Fully Fenced|Secure Parking|Swimming Pool - Below Ground
2019096049,562000,"17/19 Doughboy Parade, Hemmant QLD 4174",Hemmant,153.1241678,-27.4485581,0,3,1,1,2024-03-22T06:22:22.63Z,2024-03-05T03:35:06Z,
2019012176,865000,"7 Karelyn Drive, Joyner QLD 4500",Joyner,152.9475544,-27.2817499,1193,4,1,2,2024-03-13T11:50:55.197Z,2024-01-26T03:42:55Z,
2019001590,1105000,"35 Honeysuckle Street, Mansfield QLD 4122",Mansfield,153.0984409,-27.5246781,567,5,2,3,2024-04-12T04:05:47.243Z,2024-01-22T01:43:24Z,
2019076137,950000,"112 Grovely Terrace, Mitchelton QLD 4053",Mitchelton,152.9691082,-27.4092671,451,3,1,1,2024-03-26T01:45:24.597Z,2024-02-23T22:20:27Z,Air conditioning|Floorboards|Built in wardrobes|Internal Laundry|Gas|Bath|Gas|Separate Dining Room|Heating|Dishwasher|Secure Parking|City Views
2019141024,1886999,"24 & 26 Oates Parade, Northgate QLD 4013",Northgate,153.0740079,-27.3922973,1183,9,4,6,2024-04-02T04:59:13.71Z,2024-03-26T00:44:16Z,
2019087072,1250000,"50 Lionel Street, Nudgee QLD 4014",Nudgee,153.0880897,-27.365709,810,3,1,2,2024-03-13T06:26:25.057Z,2024-02-29T02:34:20Z,
2019050180,1980000,"8 Moreton Street, Paddington QLD 4064",Paddington,153.009676,-27.4616538,906,3,1,2,2024-04-03T10:21:28.46Z,2024-02-13T23:23:22Z,
2019080654,1240000,"16 Pembridge Place, Pallara QLD 4110",Pallara,153.0136545,-27.6231313,400,5,3,2,2024-04-24T04:12:55.057Z,2024-02-27T03:16:32Z,Rumpus Room|Floorboards|Built In Robes|Dishwasher|Bathtub|Gas Appliances|Ducted Heating|Ducted Air Conditioning|Gas Hot Water|Ensuite(s)|Outdoor Entertainment Area|Remote Garage|Fully Fenced
2019194109,645000,"9 Reid Street, Petrie QLD 4502",Petrie,152.9791877,-27.2681839,607,2,1,2,2024-04-19T05:43:25.04Z,2024-04-19T05:43:25Z,
2019097342,1001000,"13 Turnbull Court, Petrie QLD 4502",Petrie,152.9655315,-27.2701811,900,4,2,2,2024-04-12T06:35:55.783Z,2024-03-05T08:03:07Z,
2019140946,985000,"5 Minden Street, Sunnybank QLD 4109",Sunnybank,153.0594416,-27.5841084,663,3,1,1,2024-04-04T04:35:26.493Z,2024-03-26T00:33:21Z,Air conditioning|Alarm System|Built in wardrobes|Close to Schools|Close to Shops|Close to Transport|Electric Hot Water Service
2019092545,950000,"50 Warana Street, The Gap QLD 4061",The Gap,152.9361529,-27.4452082,607,3,1,3,2024-03-21T00:08:19.087Z,2024-03-03T23:52:30Z,
2019165300,550000,"96/2 Ford Court, Carindale QLD 4152",Carindale,153.124313,-27.494434,0,2,1,2,2024-04-08T02:10:09.19Z,2024-04-08T02:10:09Z,
2019036033,1040000,"51 Railway Road, Fairfield QLD 4103",Fairfield,153.0234573,-27.5104987,463,3,2,2,2024-03-26T01:30:20.59Z,2024-02-07T02:19:41Z,Alfresco Kitchen|Ceiling Fans|Covered Deck|Balcony / Deck|Elevated Outlook|Floorboards|Gas Cooktop|Outdoor Entertaining|SMEG Kitchen Appliances|Shed|Stone Benchtop
2019200828,991000,"10 Muskwood Street, Algester QLD 4115",Algester,153.0341434,-27.6129707,549,3,2,1,2024-04-23T23:13:30.72Z,2024-04-23T23:13:30Z,
2019037836,2400000,"24 Howard Street, Grange QLD 4051",Grange,153.0172109,-27.4211495,630,5,4,4,2024-03-25T23:41:27.77Z,2024-02-07T06:38:26Z,Built in wardrobes|Close to Schools|Close to Transport|Garden / Courtyard|Covered Terrace|Balcony / Deck|Dishwasher|Fully fenced|Laundry|Pool|Solar panels|Air conditioning|Study
2019075638,820000,"1 Tarwhine Street, Manly West QLD 4179",Manly West,153.1690565,-27.4722532,592,3,1,3,2024-03-12T23:01:25.907Z,2024-02-23T06:23:54Z,
2019103067,1395000,"9 Ashley Road, Chermside West QLD 4032",Chermside West,153.0124353,-27.3767742,1012,4,3,2,2024-04-08T00:27:44.86Z,2024-03-07T06:05:25Z,
2019083821,880000,"8 Fortrose Street, Kenmore QLD 4069",Kenmore,152.9285676,-27.5127466,673,4,1,1,2024-04-08T07:03:40.763Z,2024-02-28T02:54:09Z,
2019127277,1366000,"21 Portulaca Street, Macgregor QLD 4109",Macgregor,153.0841596,-27.5674857,610,4,3,3,2024-03-19T09:19:17.5Z,2024-03-19T09:19:17Z,
2018939172,5500000,"37 Queens Road, Hamilton QLD 4007",Hamilton,153.0505179,-27.4363305,668,5,4,3,2024-04-23T22:23:10.41Z,2023-12-04T00:58:59Z,
2019080711,1750000,"28 Sycamore Close, Calamvale QLD 4116",Calamvale,153.048954,-27.6342358,720,5,2,3,2024-04-19T04:28:11.01Z,2024-02-27T03:23:52Z,Built in wardrobes|Balcony / Deck|Dishwasher|Air conditioning|Heating|Ducted Vacuum|Outdoor Entertaining|Swimming Pool|Remote Garage|Rumpus Room|Secure Parking
2019144154,1715000,"21 Browne Street, New Farm QLD 4005",New Farm,153.0445159,-27.4645771,254,3,1,2,2024-04-16T23:51:21.383Z,2024-03-27T01:42:21Z,Air conditioning|Built in wardrobes|Close to Schools|Close to Shops|Close to Transport|Garden / Courtyard|Dishwasher|Fully fenced|Garden
2019104826,855000,"1058 Samford Road, Keperra QLD 4054",Keperra,152.9459209,-27.4140328,614,3,1,2,2024-04-11T05:57:20.947Z,2024-03-08T02:29:36Z,
2019097217,738000,"16/28 Holmead Road, Eight Mile Plains QLD 4113",Eight Mile Plains,153.0943631,-27.5696109,328,3,3,1,2024-04-02T03:21:50.603Z,2024-03-05T07:10:29Z,Air conditioning|Ensuite|Intercom|Built in wardrobes|Internal Laundry|Bath|Separate Dining Room|Tennis Court|Secure Parking|Fully fenced|Garden / Courtyard|Swimming Pool
2019104826,855000,"1058 Samford Road, Keperra QLD 4054",Keperra,152.9459209,-27.4140328,614,3,1,2,2024-04-11T05:57:20.947Z,2024-03-08T02:29:36Z,
2019097217,738000,"16/28 Holmead Road, Eight Mile Plains QLD 4113",Eight Mile Plains,153.0943631,-27.5696109,328,3,3,1,2024-04-02T03:21:50.603Z,2024-03-05T07:10:29Z,Air conditioning|Ensuite|Intercom|Built in wardrobes|Internal Laundry|Bath|Separate Dining Room|Tennis Court|Secure Parking|Fully fenced|Garden / Courtyard|Swimming Pool
2019104826,855000,"1058 Samford Road, Keperra QLD 4054",Keperra,152.9459209,-27.4140328,614,3,1,2,2024-04-11T05:57:20.947Z,2024-03-08T02:29:36Z,
2019097217,738000,"16/28 Holmead Road, Eight Mile Plains QLD 4113",Eight Mile Plains,153.0943631,-27.5696109,328,3,3,1,2024-04-02T03:21:50.603Z,2024-03-05T07:10:29Z,Air conditioning|Ensuite|Intercom|Built in wardrobes|Internal Laundry|Bath|Separate Dining Room|Tennis Court|Secure Parking|Fully fenced|Garden / Courtyard|Swimming Pool
