id,price,address,suburb,longitude,latitude,area,beds,baths,cars,dateListed,dateSold,features
2019831451,905000,"44 Rushworth Street, Bald Hills QLD 4036",Bald Hills,153.0098204,-27.3041193,758,3,1,2,2025-04-08T02:26:54.153Z,2025-03-02T23:24:35Z,Air conditioning|Built in wardrobes|Internal Laundry|Gas|Dishwasher|Shed|Fully fenced|Swimming Pool|Balcony / Deck|Solar panels|Solar hot water|Rainwater storage tank|Wall / ceiling insulation
2019725147,973000,"7 Currajon Street, Brendale QLD 4500",Brendale,152.9657381,-27.3260937,610,3,2,2,2025-03-25T05:35:54.91Z,2025-01-14T21:28:53Z,Air conditioning|Built in wardrobes|Close to Transport|Balcony / Deck|Floorboards|Fully fenced|Greywater system|Pool|Swimming Pool|Rumpus Room|Secure Parking|Solar Hot Water|Solar panels|Timber Floors|Rainwater storage tank
2019356049,2840000,"40 Sunset Place, Carindale QLD 4152",Carindale,153.1158974,-27.5150175,787,5,3,2,2025-03-25T01:38:55.31Z,2025-03-19T05:42:14Z,Air Conditioning|Area Views|Built-In Wardrobes|Close to Shops|Alarm System|Pool|Intercom|Open Fire Place|Close to Schools|Ensuite|City Views|Prestige Homes|3 Phase Power|Car Parking - Surface|Carpeted|Broadband Internet Available|Dishwasher|Floorboards|Fully Fenced
2019728535,1150000,"21 Beazley Circuit, Bridgeman Downs QLD 4035",Bridgeman Downs,152.9881565,-27.3631021,400,4,2,2,2025-03-20T22:55:30.117Z,2025-01-15T23:32:28Z,Ensuite
2019771381,2400000,"37 Holborn Crescent, Carindale QLD 4152",Carindale,153.1144028,-27.5236547,901,5,3,2,2025-03-31T01:42:16.34Z,2025-02-05T02:17:46Z,
2019937815,1201000,"14 Alleena Street, Chermside QLD 4032",Chermside,153.035981,-27.3921236,617,3,1,2,2025-04-17T04:01:17.703Z,2025-04-17T04:01:17Z,
2019513958,1225000,"69 Strickland Terrace, Graceville QLD 4075",Graceville,152.9906366,-27.5260433,1037,4,1,2,2025-04-08T08:04:24.6Z,2024-09-24T04:53:34Z,
2019710774,2150000,"41 Ewer Street, Carindale QLD 4152",Carindale,153.1165209,-27.5140317,726,5,3,2,2025-03-25T02:29:18.033Z,2025-01-06T05:35:49Z,Air Conditioning|Close to Transport|Close to Shops|Pool|Close to Schools
2019765296,1950000,"15 Lydia Street, Kalinga QLD 4030",Kalinga,153.0465846,-27.4112428,428,5,3,1,2025-03-25T22:52:42.2Z,2025-02-03T02:58:35Z,Ensuite
2019838530,1140000,"55 Greta Street, Manly West QLD 4179",Manly West,153.1764661,-27.4642851,721,3,1,3,2025-03-25T01:38:01.283Z,2025-03-05T01:37:47Z,AC|Balcony|Deck|Study|Garden|Dishwasher|Split System AC|Outdoor Entertaining|Shed|Fully Fenced|Floorboards|Remote Garage|Workshop|Builtin Robes|Secure Parking
2019797771,946500,"13 Colleen Street, Lawnton QLD 4501",Lawnton,152.9734081,-27.2804546,1032,3,2,6,2025-04-10T03:26:44.31Z,2025-02-16T23:54:13Z,Air conditioning|Floorboards|Built in wardrobes|Bath|Secure Parking
